# 7daf4d34-e3c1-4827-9777-a6793ffc3440
# 603fd3987364b09f9aacb70d1ed12c268e24dd56
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.0489925; -0.2364293; 0.0349893; 0.0799358; 6.4310783; 0.4791257
0.1999470; 1.0850002; 0.0461225; 0.0509402; 0.0796079; 6.4459574; 0.4653654
0.3998941; 1.1415211; 0.2643996; 0.0668258; 0.0792965; 6.4603765; 0.4518410
0.5998411; 0.9898139; 0.3501269; 0.0826618; 0.0792161; 6.4743457; 0.4295347
0.7997882; 1.0583261; 0.6259698; 0.0985164; 0.0793720; 6.4875975; 0.3985914
0.9997352; 0.9958359; 0.8073092; 0.1144029; 0.0795482; 6.4998704; 0.3685076
1.1996823; 0.8558770; 1.0967835; 0.1303289; 0.0797473; 6.5111965; 0.3391177
1.3996293; 0.9772828; 1.2536336; 0.1462955; 0.0799673; 6.5216018; 0.3104672
1.5995764; 0.9574169; 1.3631420; 0.1623084; 0.0802078; 6.5311136; 0.2825252
1.7995234; 1.0018138; 1.6158271; 0.1783719; 0.0804695; 6.5397572; 0.2552192
1.9994704; 0.8682102; 1.8761847; 0.1944885; 0.0807521; 6.5475557; 0.2285251
2.1994175; 0.6429033; 2.1278058; 0.2106657; 0.0810564; 6.5545306; 0.2023805
2.3993645; 0.7663739; 2.1205033; 0.2269045; 0.0813823; 6.5607013; 0.1767501
2.5993116; 0.6947527; 2.5806896; 0.2432110; 0.0817296; 6.5660859; 0.1516261
2.7992586; 0.6523649; 2.5251313; 0.2595896; 0.0820993; 6.5707015; 0.1269352
2.9992057; 0.6038956; 2.8264964; 0.2760429; 0.0824910; 6.5745630; 0.1026807
3.1991527; 0.5204818; 2.9591285; 0.2925787; 0.0829052; 6.5776850; 0.0788193
3.3990997; 0.5693135; 3.2362852; 0.3091984; 0.0833425; 6.5800805; 0.0553120
3.5990468; 0.4356668; 3.3720685; 0.3259080; 0.0838019; 6.5817610; 0.0321928
3.7989938; 0.3791951; 3.5390877; 0.3427122; 0.0842849; 6.5827389; 0.0093819
3.9989409; 0.3010331; 3.7610137; 0.3596140; 0.0847914; 6.5830239; -0.0131153
4.1988879; 0.3182918; 3.8693952; 0.3766215; 0.0853234; 6.5826255; -0.0353978
4.3988350; 0.2109671; 4.2250435; 0.3937366; 0.0858804; 6.5815502; -0.0574387
4.5987820; 0.0248582; 4.3198131; 0.4109658; 0.0864608; 6.5798050; -0.0791653
4.7987291; 0.0099171; 4.4815226; 0.4283138; 0.0870667; 6.5773989; -0.1006697
4.9986761; -0.1185112; 4.6124125; 0.4457843; 0.0876978; 6.5743379; -0.1219400
5.1986231; -0.3103339; 4.8864942; 0.4633858; 0.0883602; 6.5706283; -0.1432282
5.3985702; -0.4649124; 5.0606857; 0.4811214; 0.0890500; 6.5662683; -0.1643442
5.5985172; -0.3077745; 5.1445392; 0.4989979; 0.0897699; 6.5612621; -0.1853946
5.7984643; -0.4261579; 5.4241175; 0.5170223; 0.0905230; 6.5556099; -0.2064869
5.9984113; -0.5173560; 5.5274414; 0.5351989; 0.0913039; 6.5493090; -0.2273598
6.1983584; -0.6428576; 5.7373125; 0.5535371; 0.0921256; 6.5423642; -0.2485615
6.3983054; -0.8190080; 5.8626761; 0.5720418; 0.0929779; 6.5347632; -0.2695987
6.5982524; -0.8413969; 6.0289521; 0.5907202; 0.0938634; 6.5265090; -0.2905603
6.7981995; -0.9662361; 6.2320546; 0.6095798; 0.0947860; 6.5176013; -0.3115834
6.9981465; -1.1233521; 6.3960793; 0.6286263; 0.0957396; 6.5080355; -0.3323694
7.1980936; -1.2079481; 6.5541339; 0.6478262; 0.0963139; 6.4978160; -0.3355711
7.3980406; -1.3396127; 6.7495860; 0.6671440; 0.0969209; 6.4874818; -0.3397870
7.5979877; -1.4856723; 6.8768355; 0.6865352; 0.0965460; 6.4770010; -0.3023631
7.7979347; -1.6153818; 7.0422801; 0.7057039; 0.0951981; 6.4676602; -0.2267136
7.9978818; -1.7418771; 7.2116623; 0.7246067; 0.0938809; 6.4606476; -0.1574059
8.1978288; -1.8020299; 7.2335832; 0.7431931; 0.0920415; 6.4557743; -0.0708798
8.3977758; -1.9213278; 7.5343040; 0.7614151; 0.0902302; 6.4535786; 0.0089481
8.5977229; -2.1912331; 7.7504335; 0.7792788; 0.0884668; 6.4538558; 0.0818497
8.7976699; -2.2722611; 7.7791162; 0.7967945; 0.0867431; 6.4563911; 0.1487508
8.9976170; -2.3282953; 7.8484194; 0.8139689; 0.0850460; 6.4609961; 0.2106959
9.1975640; -2.6435576; 8.0024775; 0.8308078; 0.0833971; 6.4675132; 0.2672079
9.3975111; -2.7154042; 8.1793129; 0.8473199; 0.0817692; 6.4757688; 0.3198525
9.5974581; -2.8345392; 8.3887978; 0.8635092; 0.0801757; 6.4856371; 0.3683984
9.7974051; -3.0764341; 8.3427082; 0.8793830; 0.0786106; 6.4969846; 0.4134176
9.9973522; -3.1659434; 8.5402047; 0.8949469; 0.0770659; 6.5096953; 0.4555270
10.1972992; -3.3462393; 8.5836649; 0.9102040; 0.0755562; 6.5236719; 0.4943527
10.3972463; -3.4603876; 8.8263498; 0.9251619; 0.0740626; 6.5388060; 0.5309287
10.5971933; -3.6784399; 9.0692208; 0.9398230; 0.0725916; 6.5550209; 0.5651740
10.7971404; -3.8948038; 9.0842460; 0.9541917; 0.0711388; 6.5722377; 0.5974513
10.9970874; -4.0222703; 9.0860305; 0.9682725; 0.0697017; 6.5903889; 0.6280263
11.1970345; -4.2233717; 9.3114746; 0.9820658; 0.0682772; 6.6094153; 0.6571688
11.3969815; -4.3566071; 9.3304127; 0.9955765; 0.0668653; 6.6292660; 0.6849985
11.5969285; -4.5128621; 9.4928597; 1.0088060; 0.0654652; 6.6498944; 0.7116624
11.7968756; -4.5877943; 9.5940146; 1.0217561; 0.0640740; 6.6712581; 0.7373933
11.9968226; -4.7524907; 9.7591807; 1.0344300; 0.0626946; 6.6933223; 0.7621364
12.1967697; -5.0254405; 9.7992832; 1.0468276; 0.0613211; 6.7160507; 0.7862572
12.3967167; -5.1194117; 9.9240250; 1.0589522; 0.0599570; 6.7394182; 0.8096500
12.5966638; -5.3400515; 10.0711230; 1.0708048; 0.0586006; 6.7633964; 0.8324723
12.7966108; -5.5364968; 10.0594067; 1.0823865; 0.0572495; 6.7879623; 0.8548913
12.9965578; -5.6774142; 10.1556603; 1.0936995; 0.0559073; 6.8130975; 0.8767941
